Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1668056519,2022-11-10T05:01:59Z,UAE97,"25.254612,55.354511",0,3,120
1668056539,2022-11-10T05:02:19Z,UAE97,"25.25474,55.35429",0,3,120
1668056561,2022-11-10T05:02:41Z,UAE97,"25.254856,55.354084",0,1,120
1668056759,2022-11-10T05:05:59Z,UAE97,"25.25474,55.354301",0,4,120
1668056781,2022-11-10T05:06:21Z,UAE97,"25.254473,55.354782",0,7,120
1668056810,2022-11-10T05:06:50Z,UAE97,"25.253998,55.355644",0,7,120
1668057006,2022-11-10T05:10:06Z,UAE97,"25.253014,55.35741",0,5,120
1668057039,2022-11-10T05:10:39Z,UAE97,"25.25235,55.358593",0,9,120
1668057056,2022-11-10T05:10:56Z,UAE97,"25.252075,55.359142",0,6,118
1668057066,2022-11-10T05:11:06Z,UAE97,"25.252016,55.359394",0,4,109
1668057084,2022-11-10T05:11:24Z,UAE97,"25.25197,55.359653",0,3,104
1668057101,2022-11-10T05:11:41Z,UAE97,"25.251961,55.35989",0,2,98
1668057118,2022-11-10T05:11:58Z,UAE97,"25.251959,55.360119",0,2,92
1668057421,2022-11-10T05:17:01Z,UAE97,"25.251949,55.360363",0,11,92
1668057444,2022-11-10T05:17:24Z,UAE97,"25.251938,55.360668",0,2,92
1668057480,2022-11-10T05:18:00Z,UAE97,"25.251881,55.361126",0,10,98
1668057869,2022-11-10T05:24:29Z,UAE97,"25.251823,55.361378",0,10,104
1668057894,2022-11-10T05:24:54Z,UAE97,"25.251537,55.361874",0,8,120
1668057909,2022-11-10T05:25:09Z,UAE97,"25.251652,55.362484",0,10,70
1668057948,2022-11-10T05:25:48Z,UAE97,"25.25317,55.363529",0,8,36
1668057965,2022-11-10T05:26:05Z,UAE97,"25.253036,55.364063",0,6,104
1668058011,2022-11-10T05:26:51Z,UAE97,"25.252844,55.364319",0,0,120
1668058036,2022-11-10T05:27:16Z,UAE97,"25.250473,55.368664",0,80,120
1668058072,2022-11-10T05:27:52Z,UAE97,"25.239487,55.388538",100,154,121
1668058080,2022-11-10T05:28:00Z,UAE97,"25.236877,55.393322",225,155,120
1668058086,2022-11-10T05:28:06Z,UAE97,"25.234451,55.397846",350,157,120
1668058091,2022-11-10T05:28:11Z,UAE97,"25.23271,55.400993",450,159,120
