time,lat,lon,alt,VN,VE,VD
0.652420,58.005056800,56.331286500,157.636,0.001,-0.001,-0.007
1.652400,58.005056800,56.331286500,157.645,0.001,0.004,-0.009
2.652400,58.005056800,56.331286500,157.649,-0.002,-0.001,-0.005
3.652400,58.005056700,56.331286400,157.651,0.001,0.001,-0.018
4.652400,58.005056700,56.331286400,157.655,-0.001,0.002,-0.009
5.652380,58.005056700,56.331286400,157.657,0.002,0.006,-0.004
6.652380,58.005056700,56.331286500,157.661,0.000,0.009,-0.005
7.652380,58.005056800,56.331286500,157.657,0.000,0.001,0.000
8.652380,58.005056800,56.331286500,157.657,-0.002,0.005,-0.011
9.652360,58.005056800,56.331286500,157.657,0.002,0.002,-0.001
10.652360,58.005056800,56.331286400,157.657,-0.002,0.002,0.001
11.652360,58.005056800,56.331286400,157.658,0.001,0.005,-0.003
12.652360,58.005056800,56.331286500,157.653,-0.003,0.003,0.000
13.652340,58.005056800,56.331286400,157.644,0.000,-0.002,-0.004
14.652340,58.005056800,56.331286300,157.643,-0.002,0.001,-0.012
15.652340,58.005056800,56.331286300,157.644,-0.003,0.002,-0.013
16.652340,58.005056800,56.331286200,157.636,0.001,-0.004,-0.007
17.652340,58.005056900,56.331286100,157.624,-0.001,-0.001,0.000
18.652320,58.005056800,56.331286100,157.603,-0.003,-0.001,-0.002
19.652320,58.005056900,56.331287500,157.597,0.000,0.131,-0.012
20.652320,58.005055800,56.331300000,157.603,-0.181,0.999,-0.033
21.652320,58.005051700,56.331328400,157.619,-0.575,1.982,-0.045
22.652300,58.005045100,56.331377200,157.626,-0.817,3.275,-0.041
23.652300,58.005040300,56.331451300,157.672,-0.410,4.863,-0.069
24.652300,58.005040800,56.331547400,157.728,0.257,6.041,-0.095
25.652300,58.005045500,56.331659300,157.784,0.632,6.862,-0.079
26.652280,58.005052700,56.331779100,157.885,0.867,7.184,-0.132
27.652280,58.005061300,56.331895500,157.995,0.988,6.750,-0.135
28.652280,58.005071300,56.332006500,158.127,1.148,6.490,-0.153
29.652280,58.005083800,56.332113600,158.233,1.492,6.268,-0.131
30.652260,58.005100600,56.332212600,158.367,2.038,5.682,-0.175
31.652260,58.005122400,56.332299600,158.535,2.577,4.920,-0.200
32.652260,58.005145500,56.332376600,158.649,2.570,4.406,-0.134
33.652260,58.005166000,56.332447700,158.778,2.149,4.123,-0.163
34.652240,58.005185300,56.332531600,158.975,2.148,5.330,-0.229
35.652240,58.005202600,56.332645100,159.231,1.822,7.301,-0.269
36.652240,58.005214200,56.332791200,159.516,1.064,9.213,-0.293
37.652240,58.005225800,56.332966700,159.855,1.372,10.879,-0.350
38.652220,58.005240600,56.333167000,160.219,1.760,12.254,-0.368
39.652220,58.005257100,56.333384100,160.623,1.868,13.086,-0.407
40.652220,58.005273800,56.333611000,161.015,1.848,13.554,-0.395
41.652220,58.005289100,56.333838700,161.358,1.624,13.420,-0.338
42.652200,58.005302700,56.334059600,161.644,1.461,12.908,-0.295
43.652200,58.005315200,56.334275200,161.904,1.345,12.677,-0.271
44.652200,58.005326800,56.334490200,162.160,1.258,12.724,-0.256
45.652200,58.005338200,56.334707700,162.369,1.278,12.920,-0.234
46.652180,58.005349400,56.334928900,162.544,1.222,13.144,-0.192
47.652180,58.005360500,56.335152500,162.707,1.235,13.250,-0.170
48.652180,58.005371000,56.335370300,162.812,1.137,12.723,-0.118
49.652180,58.005380700,56.335570700,163.007,1.065,11.464,-0.227
50.652160,58.005388600,56.335743900,163.038,0.824,9.725,-0.082
51.652160,58.005395900,56.335885500,163.060,0.800,7.802,-0.053
52.652160,58.005406600,56.335989200,163.088,1.359,5.415,-0.051
53.652160,58.005426700,56.336056600,163.131,2.627,3.380,-0.077
54.652140,58.005457100,56.336086100,163.186,3.703,1.064,-0.105
55.652140,58.005486600,56.336075100,163.162,3.099,-1.362,-0.009
56.652140,58.005505700,56.336032200,163.087,1.699,-3.028,0.041
57.652140,58.005510700,56.335962000,163.036,0.062,-4.622,0.016
58.652120,58.005505900,56.335865500,162.992,-0.791,-6.161,0.012
59.652120,58.005499100,56.335742600,162.877,-0.722,-7.724,0.057
60.652120,58.005493800,56.335594900,162.791,-0.531,-9.163,0.060
61.652120,58.005490200,56.335430500,162.714,-0.355,-9.947,0.054
62.652100,58.005487100,56.335256800,162.616,-0.363,-10.400,0.089
63.652100,58.005483100,56.335074900,162.495,-0.502,-10.892,0.120
